specimen_id,longitude,latitude,caffeine_percent
C_resinosa_A8,47.683333,-23.183333,0.0
C_tsirananae_A515,49.35805,-12.35083,0.0
C_tsirananae_A515,49.21111,-12.17833,0.0
C_dubardii_A969,44.749167,-16.958611,0.0
C_dubardii_A969,44.732222,-16.931667,0.0
C_heimii_A516,49.35305,-12.37361,0.0
C_tsirananae_A515,49.35305,-12.37361,0.0
C_pervilleana_A957,49.36583,-12.37888,0.0
C_dubardii_A969,49.10972,-12.90888,0.0
C_heimii_A516,49.45611,-12.58472,0.0
C_leroyi_A315,49.301389,-14.325556,0.02
C_leroyi_A315,49.31111,-14.30166,0.02
C_leroyi_A315,49.28583,-14.33666,0.02
C_resinosa_A8,47.700278,-23.178611,0.0
C_richardii_A575,49.45833,-17.70305,0.03
C_humbertii_RNF785,43.714444,-23.002222,0.0
C_resinosa_A8,47.753611,-23.089722,0.0
C_tsirananae_A515,49.218611,-12.165556,0.0
C_millotii_A222,48.31888,-18.86944,0.0
C_millotii_A222,48.2925,-18.86611,0.0
C_abbayesii_A601,46.45,-24.36666,0.0
C_resinosa_A8,48.482222,-20.801944,0.0
C_resinosa_A8,48.554167,-20.3725,0.0
C_resinosa_A8,47.724167,-23.170278,0.0
C_resinosa_A8,49.70611,-16.76055,0.0
C_millotii_A222,49.98194,-15.62083,0.0
C_resinosa_A8,49.256667,-18.565556,0.0
C_resinosa_A8,48.605833,-20.359444,0.0
C_resinosa_A8,49.23388,-18.595,0.0
C_leroyi_A315,48.76777,-17.50694,0.02
C_leroyi_A315,48.72222,-17.54222,0.02
C_richardii_A575,49.25666,-18.56555,0.03
C_resinosa_A8,49.70972,-16.76111,0.0
C_resinosa_A8,49.4,-17.28333,0.0
C_homollei_A945,48.73111,-17.50388,0.06
C_resinosa_A8,47.70027,-23.17666,0.0
C_resinosa_A8,47.70111,-23.17222,0.0
C_perrieri_A12,44.156111,-22.718056,0.0
C_richardii_A575,50.0,-14.1,0.03
C_heimii_A516,49.583333,-12.970278,0.0
C_tetragona_A252,47.99,-13.77,0.03
C_millotii_A222,49.550833,-13.218889,0.0
C_richardii_A575,49.990556,-14.112778,0.03
C_richardii_A575,50.007222,-14.100833,0.03
C_abbayesii_A601,47.136667,-24.835833,0.0
C_abbayesii_A601,47.136111,-24.842778,0.0
C_abbayesii_A601,47.166111,-24.796389,0.0
C_humbertii_RNF785,46.981111,-24.884722,0.0
C_richardii_A575,48.950556,-19.044722,0.03
C_heimii_A516,47.863889,-21.3825,0.0
C_perrieri_A12,47.863889,-21.3825,0.0
C_homollei_A945,47.863889,-21.3825,0.06
C_perrieri_A12,47.863889,-21.3825,0.0
C_millotii_A222,47.863889,-21.3825,0.0
C_millotii_A222,47.863889,-21.3825,0.0
C_millotii_A222,47.863889,-21.3825,0.0
C_millotii_A222,47.870278,-21.376944,0.0
C_millotii_A222,47.863889,-21.3825,0.0
C_richardii_A575,47.863889,-21.3825,0.03
C_farafanganensis_A208,47.863889,-21.3825,0.045
