specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
humbertii_502,4326,43.625805,-23.250722,POINT (359422.5018781469 7428059.36902496),9,1,False,6.0,1.0,341.0,7370.0,,3.0,6,6.0,9.0
humbertii_503,4326,43.625805,-23.250722,POINT (359422.5018781469 7428059.36902496),9,1,False,6.0,1.0,341.0,7370.0,,3.0,6,6.0,9.0
humbertii_504,4326,44.690055,-22.888583,POINT (468210.24437796004 7468780.536558478),9,0,False,788.0,4.0,123.0,7463.0,6.0,16.0,22,6.0,100.0
humbertii_506,4326,44.1366,-23.5318,POINT (411865.5851767542 7397342.999132204),9,0,False,94.0,5.0,354.0,7585.0,1.0,15.0,12,6.0,74.0
humbertii_507,4326,44.1366,-23.5318,POINT (411865.5851767542 7397342.999132204),9,0,False,94.0,5.0,354.0,7585.0,1.0,15.0,12,6.0,74.0
perrieri_509,4326,44.272222,-22.853611,POINT (425334.6020387369 7472501.129658243),9,0,False,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0
millotii_514,4326,49.786667,-16.4525,POINT (1011467.5626294343 8174949.434287034),9,0,False,291.0,4.0,62.0,7830.0,10.0,11.0,14,2.0,96.0
tsirananae_517,4326,49.35305,-12.37361,POINT (973623.1924143073 8628271.887355782),9,0,False,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0
millotii_519,4326,48.556111,-19.158611,POINT (874113.995799795 7877808.812782688),9,0,False,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0
dubardii_522,4326,49.1725,-12.487778,POINT (953747.6522378414 8615930.676070265),9,0,False,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0
