,env_71_alt,env_72_slo,env_73_asp,env_74_solrad,env_75_geo,env_76_soi,env_77_veg,env_78_wat,env_79_forcov,caffeine_class
215,37.0,3.0,221.0,7501.0,10.0,10.0,7,2.0,0.0,Low
216,106.0,6.0,177.0,7588.0,10.0,10.0,16,1.0,2.0,Low
217,906.0,10.0,264.0,7553.0,9.0,18.0,22,6.0,100.0,Absent
218,165.0,12.0,351.0,8037.0,9.0,9.0,16,14.0,58.0,Low
219,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0,Absent
220,199.0,5.0,141.0,7620.0,9.0,18.0,5,8.0,71.0,Absent
221,270.0,13.0,161.0,7330.0,10.0,11.0,16,2.0,2.0,Low
222,183.0,13.0,257.0,7597.0,10.0,10.0,16,2.0,8.0,Low
223,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0,Absent
224,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0,Absent
225,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0,Absent
226,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0,Absent
227,98.0,2.0,10.0,7681.0,10.0,10.0,16,2.0,0.0,Low
228,50.0,4.0,131.0,7600.0,10.0,10.0,16,2.0,0.0,Low
229,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0,Absent
230,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0,Absent
231,244.0,9.0,150.0,7596.0,10.0,6.0,14,1.0,17.0,Low
232,5.0,3.0,120.0,7187.0,2.0,21.0,7,5.0,7.0,Absent
233,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0,Absent
234,410.0,24.0,157.0,6554.0,10.0,9.0,14,14.0,100.0,Absent
235,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
236,261.0,13.0,7.0,8107.0,10.0,6.0,14,1.0,87.0,Low
237,91.0,4.0,239.0,7837.0,6.0,23.0,6,12.0,4.0,Absent
238,1023.0,7.0,179.0,7592.0,10.0,9.0,14,2.0,60.0,Absent
