specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
millotii_1274,4326,49.786667,-16.4525,POINT (1011467.5626294343 8174949.434287034),9,0,False,291.0,4.0,62.0,7830.0,10.0,11.0,14.0,2.0,96.0
resinosa_1275,4326,49.405833,-17.688889,POINT (967602.4266189564 8038763.60339047),9,0,False,60.0,5.0,158.0,7521.0,10.0,10.0,16.0,2.0,3.0
richardii_1276,4326,50.016389,-14.101111,POINT (1042100.7731690232 8435298.740363352),9,0,False,297.0,9.0,341.0,8098.0,10.0,6.0,14.0,1.0,74.0
coursiana_1277,4326,48.553056,-19.164722,POINT (873778.4721275663 7877138.163237078),9,0,False,747.0,4.0,264.0,7681.0,10.0,9.0,14.0,2.0,94.0
millotii_1279,4326,49.198056,-18.036111,POINT (944650.4678264419 8000769.263014873),9,0,False,254.0,13.0,125.0,7332.0,10.0,11.0,4.0,2.0,0.0
sakarahae_1286,4326,44.136667,-22.683333,POINT (411316.9033561074 7491276.811236521),9,0,False,1159.0,6.0,162.0,7366.0,9.0,18.0,9.0,6.0,100.0
millotii_1290,4326,48.556111,-19.158611,POINT (874113.995799795 7877808.812782688),9,0,False,640.0,18.0,106.0,7313.0,10.0,11.0,14.0,2.0,37.0
richardii_1292,4326,49.3275,-17.965278,POINT (958565.5558909739 8008307.284068234),9,0,False,163.0,21.0,316.0,7862.0,10.0,10.0,16.0,2.0,19.0
resinosa_1293,4326,49.678333,-16.765833,POINT (999056.6788974418 8140462.722277711),9,0,False,19.0,1.0,111.0,7712.0,1.0,19.0,16.0,2.0,99.0
heimii_1294,4326,49.583333,-12.970278,POINT (997562.5370361647 8561677.38843384),9,0,False,95.0,9.0,201.0,7586.0,10.0,10.0,6.0,1.0,6.0
mangoroensis_1295,4326,48.428333,-18.950556,POINT (861109.3216256183 7901131.944299589),9,0,False,1008.0,7.0,178.0,7536.0,10.0,9.0,14.0,2.0,100.0
pustulata_1296,4326,49.603611,-13.240555,POINT (999220.8614190095 8531661.118343607),9,0,False,728.0,26.0,31.0,7647.0,10.0,9.0,5.0,1.0,100.0
tricalysioides_1297,4326,48.980573,-14.131205,POINT (929926.9250487027 8434112.56926497),9,0,False,2156.0,8.0,304.0,8382.0,10.0,9.0,14.0,22.0,100.0
perrieri_1298,4326,46.109722,-24.310833,POINT (612602.9442835674 7310910.256040464),9,0,False,427.0,13.0,161.0,6633.0,9.0,22.0,7.0,6.0,0.0
perrieri_1299,4326,46.145833,-24.303611,POINT (616274.0138389035 7311680.2718815375),9,0,False,372.0,12.0,271.0,7183.0,9.0,22.0,12.0,6.0,99.0
perrieri_1300,4326,45.365556,-21.188611,POINT (537944.0601335384 7656934.283102252),9,0,False,686.0,16.0,212.0,6663.0,6.0,22.0,22.0,18.0,8.0
millotii_1301,4326,49.786667,-16.4525,POINT (1011467.5626294343 8174949.434287034),9,0,False,291.0,4.0,62.0,7830.0,10.0,11.0,14.0,2.0,96.0
leroyi_1302,4326,50.074722,-14.186667,POINT (1048213.1005138039 8425667.654056622),9,0,False,165.0,12.0,351.0,8037.0,9.0,9.0,16.0,14.0,58.0
humbertii_1303,4326,43.625806,-23.250722,POINT (359422.60418981465 7428059.369993826),9,1,False,6.0,1.0,341.0,7370.0,,3.0,6.0,6.0,9.0
tricalysioides_1305,4326,47.703333,-20.308333,POINT (782308.1374540222 7752085.286329247),9,0,False,1257.0,11.0,197.0,7158.0,10.0,9.0,14.0,15.0,98.0
canephora_1306,4326,50.133333,-14.621944,POINT (1053479.9972961852 8377216.729789432),9,0,False,28.0,1.0,143.0,7811.0,1.0,7.0,16.0,2.0,4.0
perrieri_1307,4326,45.989986,-17.052635,POINT (605352.2245996634 8114355.277964734),9,0,False,130.0,2.0,42.0,7790.0,7.0,20.0,1.0,8.0,15.0
perrieri_1311,4326,45.985053,-17.067958,POINT (604818.6700343543 8112662.606182978),9,0,False,175.0,7.0,31.0,7933.0,7.0,20.0,7.0,8.0,52.0
boiviniana_1312,4326,49.35,-12.33,POINT (973369.441041644 8633112.476718485),9,0,False,221.0,24.0,44.0,7905.0,5.0,23.0,7.0,1.0,18.0
grevei_1313,4326,44.348875,-23.874729,POINT (433708.46130473795 7359490.13107839),9,0,False,349.0,1.0,312.0,7434.0,6.0,16.0,6.0,6.0,4.0
boiviniana_1314,4326,49.39833,-12.388317,POINT (978531.6965615689 8626560.253334627),9,0,False,82.0,10.0,57.0,7971.0,6.0,23.0,7.0,1.0,12.0
decaryana_1315,4326,49.16667,-12.95,POINT (952290.7947331636 8564703.283373158),9,0,False,170.0,4.0,340.0,7887.0,7.0,6.0,5.0,13.0,2.0
dubardii_1316,4326,49.16667,-12.95,POINT (952290.7947331636 8564703.283373158),9,0,False,170.0,4.0,340.0,7887.0,7.0,6.0,5.0,13.0,2.0
dubardii_1317,4326,49.16667,-12.95,POINT (952290.7947331636 8564703.283373158),9,0,False,170.0,4.0,340.0,7887.0,7.0,6.0,5.0,13.0,2.0
mogenetii_1318,4326,49.16667,-12.51667,POINT (953062.1247749389 8612738.026838759),9,0,False,1032.0,4.0,171.0,8103.0,9.0,8.0,14.0,12.0,100.0
bissetiae_1319,4326,46.820657,-16.234735,POINT (694593.7225887432 8204234.682275005),9,0,False,121.0,2.0,315.0,7784.0,6.0,16.0,5.0,20.0,59.0
boinensis_1320,4326,46.778291,-16.139983,POINT (690155.1047403162 8214759.880828703),9,0,False,11.0,1.0,221.0,7701.0,6.0,5.0,7.0,20.0,0.0
tsirananae_1321,4326,49.371244,-12.226533,POINT (975871.8191408159 8644546.725111166),9,6,False,,,,,2.0,,25.0,1.0,
heimii_1322,4326,49.263119,-12.279828,POINT (963987.2160799548 8638826.905155072),9,8,False,,,,,,,25.0,,
boiviniana_1323,4326,47.348442,-16.02418,POINT (751293.3086031234 8226967.764675646),9,0,False,171.0,2.0,302.0,7830.0,6.0,17.0,6.0,9.0,42.0
bissetiae_1324,4326,46.474407,-15.428146,POINT (658205.0588567118 8293776.65531766),9,8,False,,,,,,,25.0,,
tsirananae_1328,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
tricalysioides_1331,4326,47.867944,-21.374861,POINT (797403.289788567 7633650.144479241),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
sambavensis_1336,4326,47.867861,-21.377889,POINT (797388.5523752098 7633314.85921484),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
sambavensis_1337,4326,50.090278,-13.712778,POINT (1051026.9463725705 8478224.999133736),9,1,False,21.0,1.0,55.0,7866.0,,21.0,15.0,1.0,71.0
resinosa_1338,4326,49.681278,-16.867389,POINT (999104.5170429867 8129189.366791048),9,0,False,9.0,1.0,121.0,7701.0,1.0,21.0,16.0,2.0,0.0
perrieri_1349,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
minutiflora_1354,4326,47.867861,-21.377889,POINT (797388.5523752098 7633314.85921484),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
eugenioides_1359,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
heimii_1372,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
jumellei_1376,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
homollei_1378,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
homollei_1382,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
dubardii_1383,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
arenesiana_1389,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
ankaranensis_1393,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
vohemarensis_1396,4326,47.867861,-21.377889,POINT (797388.5523752098 7633314.85921484),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
vianneyi_1397,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
vianneyi_1398,4326,47.867861,-21.377889,POINT (797388.5523752098 7633314.85921484),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
sambavensis_1401,4326,50.099889,-13.720722,POINT (1052051.1443900077 8477321.291525437),9,2,False,17.0,1.0,294.0,7861.0,,21.0,15.0,,63.0
sambavensis_1406,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
sakarahae_1408,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
sahafaryensis_1413,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
tetragona_1420,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
richardii_1422,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
richardii_1423,4326,47.872778,-21.385167,POINT (797883.9954418275 7632499.27322064),9,0,False,78.0,6.0,11.0,7706.0,10.0,11.0,16.0,3.0,0.0
richardii_1428,4326,49.256667,-18.565556,POINT (949495.5412336814 7941918.554668624),9,1,False,8.0,3.0,115.0,7582.0,2.0,,16.0,2.0,34.0
resinosa_1434,4326,48.605833,-20.359444,POINT (876515.097472524 7744616.072313964),9,0,False,8.0,3.0,292.0,7574.0,1.0,21.0,16.0,3.0,32.0
resinosa_1435,4326,47.727056,-23.013667,POINT (779518.5001933372 7452365.359357076),9,0,False,45.0,7.0,123.0,7141.0,10.0,7.0,14.0,4.0,90.0
sambavensis_1436,4326,50.097778,-13.718056,POINT (1051828.3540435703 8477622.024418786),9,1,False,16.0,1.0,345.0,7857.0,,21.0,15.0,1.0,79.0
minutiflora_1441,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
resinosa_1442,4326,48.482222,-20.801944,POINT (862546.49456094 7695855.550765952),9,1,False,4.0,1.0,241.0,7521.0,,21.0,16.0,3.0,73.0
