,specimen_id,longitude,latitude
735, moratii J.-F. Leroy ex A.P. Davis & Rakotonas._735,44.537222,-18.086389
736, bonnieri Dubard_736,48.092222,-13.761667
737, mangoroensis Portères_737,48.29305,-18.875
738, liaudii J.-F. Leroy ex A.P. Davis_738,48.27777,-18.86777
741, mangoroensis Portères_741,48.34166,-18.7875
742, moratii J.-F. Leroy ex A.P. Davis & Rakotonas._742,44.529167,-18.077778
743, richardii J.-F. Leroy_743,50.007222,-14.100833
744, mangoroensis Portères_744,48.429722,-18.938333
745, mangoroensis Portères_745,48.34527,-18.82194
746, tsirananae J.-F. Leroy_746,49.21111,-12.17833
748, perrieri Drake ex Jum. & H. Perrier_748,44.287778,-22.820556
749, richardii J.-F. Leroy_749,50.03972,-14.10777
752, sakarahae J.-F. Leroy_752,45.169167,-21.251944
754, millotii J.-F. Leroy_754,49.45445,-17.704817
757, commersoniana (Baill.) A. Chev._757,46.993889,-24.974167
760, sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._760,50.00111,-13.59555
764, bissetiae A.P. Davis & Rakotonas._764,46.41,-16.71
765, heimii J.-F. Leroy_765,49.45611,-12.58472
766, mangoroensis Portères_766,48.29666,-18.8675
767, leroyi A.P. Davis_767,49.31111,-14.30166
770, resinosa (Hook. f.) Radlk._770,47.733333,-23.166667
771, mangoroensis Portères_771,48.30583,-18.87222
772, tsirananae J.-F. Leroy_772,49.35805,-12.35083
773, mangoroensis Portères_773,48.279445,-18.869167
774, callmanderi A.P. Davis & Rakotonas._774,48.67,-13.64
775, commersoniana (Baill.) A. Chev._775,47.02777,-24.94083
777, commersoniana (Baill.) A. Chev._777,46.890278,-25.0525
778, perrieri Drake ex Jum. & H. Perrier_778,44.288056,-22.820833
781, resinosa (Hook. f.) Radlk._781,47.700278,-23.178611
782, resinosa (Hook. f.) Radlk._782,47.753611,-23.089722
783, jumellei J.-F. Leroy_783,49.17361,-12.52388
784, liaudii J.-F. Leroy ex A.P. Davis_784,48.28388,-18.84583
785, resinosa (Hook. f.) Radlk._785,48.43388,-20.95027
786, perrieri Drake ex Jum. & H. Perrier_786,46.673333,-24.798889
787, buxifolia A. Chev._787,47.004722,-20.089167
788, bissetiae A.P. Davis & Rakotonas._788,45.8,-16.05
789, ratsimamangae J.-F. Leroy ex A.P. Davis & Rakotonas._789,49.355,-12.343889
790, dubardii Jum._790,49.10972,-12.90888
791, resinosa (Hook. f.) Radlk._791,48.48527,-20.76222
792, sakarahae J.-F. Leroy_792,46.726945,-24.777222
793, tricalysioides J.-F. Leroy_793,49.12972,-14.21888
794, pustulata A.P. Davis & Rakotonas._794,49.606667,-13.258056
795, boiviniana (Baill.) Drake_795,49.554167,-13.208889
797, humbertii J.-F. Leroy_797,43.714444,-23.002222
798, mogenetii Dubard_798,49.06583,-14.22194
799, liaudii J.-F. Leroy ex A.P. Davis_799,48.27555,-18.86277
800, mangoroensis Portères_800,48.27805,-18.87277
801, coursiana J.-F. Leroy_801,49.389722,-13.737222
802, liaudii J.-F. Leroy ex A.P. Davis_802,48.271389,-18.859444
804, dubardii Jum._804,44.732222,-16.931667
805, sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._805,47.06666,-24.83333
807, perrieri Drake ex Jum. & H. Perrier_807,46.109722,-24.310833
809, perrieri Drake ex Jum. & H. Perrier_809,46.15777,-24.33638
810, sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._810,50.09027,-13.71277
811, resinosa (Hook. f.) Radlk._811,48.482222,-20.801944
816, resinosa (Hook. f.) Radlk._816,48.605833,-20.359444
822, leroyi A.P. Davis_822,48.72222,-17.54222
823, perrieri Drake ex Jum. & H. Perrier_823,44.272222,-22.853611
824, leroyi A.P. Davis_824,48.72222,-17.54222
826, perrieri Drake ex Jum. & H. Perrier_826,44.263056,-22.845833
831, tricalysioides J.-F. Leroy_831,47.703333,-20.308333
832, homollei J.-F. Leroy_832,48.73111,-17.50388
833, leroyi A.P. Davis_833,48.76777,-17.50694
837, liaudii J.-F. Leroy ex A.P. Davis_837,47.023333,-17.837778
839, perrieri Drake ex Jum. & H. Perrier_839,46.145833,-24.303611
844, millotii J.-F. Leroy_844,49.786667,-16.4525
847, richardii J.-F. Leroy_847,49.21,-18.006389
850, richardii J.-F. Leroy_850,49.21,-18.006389
854, dubardii Jum._854,49.174722,-12.482778
855, pervilleana (Baill.) Drake_855,44.561389,-18.117778
856, moratii J.-F. Leroy ex A.P. Davis & Rakotonas._856,44.559167,-18.121944
857, perrieri Drake ex Jum. & H. Perrier_857,44.472222,-17.939722
859, dubardii Jum._859,49.174722,-12.482778
860, moratii J.-F. Leroy ex A.P. Davis & Rakotonas._860,44.559167,-18.121944
864, richardii J.-F. Leroy_864,49.318056,-17.913889
865, tricalysioides J.-F. Leroy_865,49.153889,-12.6025
869, tsirananae J.-F. Leroy_869,49.3375,-12.323889
870, boinensis A.P. Davis & Rakotonas._870,46.8,-16.3
874, bissetiae A.P. Davis & Rakotonas._874,46.81,-16.33
876, dubardii Jum._876,49.174722,-12.482778
878, pervilleana (Baill.) Drake_878,44.561389,-18.117778
879, tricalysioides J.-F. Leroy_879,49.152222,-12.583611
884, richardii J.-F. Leroy_884,49.3275,-17.965278
885, millotii J.-F. Leroy_885,48.556111,-19.158611
