specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,specimen_name,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
homollei_1338,4326,49.203333,-17.931667,POINT (945473.0007453524 8012337.167431456),9,0,False,Coffea_homollei,321.0,9.0,156.0,7510.0,10.0,11.0,16.0,2.0,13.0
homollei_1339,4326,49.26694,-16.8625,POINT (954868.9346624928 8130736.095816407),9,0,False,Coffea_homollei,518.0,3.0,258.0,7855.0,10.0,11.0,14.0,2.0,87.0
homollei_1340,4326,49.266944,-16.8625,POINT (954869.3617356443 8130736.086573137),9,0,False,Coffea_homollei,518.0,3.0,258.0,7855.0,10.0,11.0,14.0,2.0,87.0
humbertii_1342,4326,43.610638,-23.078725,POINT (357689.0386163351 7447088.901125943),9,1,False,Coffea_humbertii,28.0,2.0,259.0,7354.0,,15.0,11.0,6.0,98.0
humbertii_1343,4326,43.625805,-23.250722,POINT (359422.5018781469 7428059.36902496),9,1,False,Coffea_humbertii,6.0,1.0,341.0,7370.0,,3.0,6.0,6.0,9.0
humbertii_1344,4326,43.625806,-23.250722,POINT (359422.60418981465 7428059.369993826),9,1,False,Coffea_humbertii,6.0,1.0,341.0,7370.0,,3.0,6.0,6.0,9.0
humbertii_1345,4326,43.665555,-23.066388,POINT (363302.385971233 7448507.303666316),9,0,False,Coffea_humbertii,113.0,0.0,210.0,7380.0,2.0,15.0,11.0,6.0,100.0
humbertii_1346,4326,43.714444,-23.002222,POINT (368248.68293934595 7455656.6169750225),9,0,False,Coffea_humbertii,135.0,1.0,184.0,7371.0,5.0,15.0,7.0,6.0,30.0
humbertii_1347,4326,43.784722,-23.451389,POINT (375868.02428078617 7405986.2089773435),9,0,False,Coffea_humbertii,157.0,16.0,271.0,7255.0,5.0,15.0,12.0,6.0,62.0
humbertii_1348,4326,43.7975,-22.875,POINT (376646.4194813568 7469814.360957881),9,0,False,Coffea_humbertii,477.0,11.0,346.0,7929.0,5.0,15.0,12.0,6.0,68.0
humbertii_1349,4326,43.916667,-23.2,POINT (389138.0336376754 7433927.100324966),9,0,False,Coffea_humbertii,306.0,2.0,173.0,7442.0,5.0,15.0,12.0,6.0,42.0
humbertii_1350,4326,43.98333,-23.26667,POINT (396012.12167647696 7426594.985614448),9,0,False,Coffea_humbertii,264.0,1.0,234.0,7399.0,5.0,15.0,7.0,6.0,0.0
humbertii_1351,4326,43.983333,-23.266667,POINT (396012.4262189438 7426595.319912165),9,0,False,Coffea_humbertii,264.0,1.0,234.0,7399.0,5.0,15.0,7.0,6.0,0.0
humbertii_1352,4326,43.983334,-23.266667,POINT (396012.52850920596 7426595.320629209),9,0,False,Coffea_humbertii,264.0,1.0,234.0,7399.0,5.0,15.0,7.0,6.0,0.0
humbertii_1353,4326,44.033333,-23.216667,POINT (401090.0539111288 7432165.99147231),9,0,False,Coffea_humbertii,342.0,8.0,122.0,7179.0,5.0,15.0,6.0,6.0,0.0
