,specimen_id,longitude,latitude,key
8735,rabica_8735,-84.191776,9.981588,rabica
8737,rabica L._8737,-78.506696,0.891311,rabica
8738,rabica L._8738,-78.506696,0.891311,rabica
8739,rabica L._8739,-78.506696,0.891311,rabica
8740,rabica L._8740,-78.149292,0.645936,rabica
8743,rabica_8743,-83.934341,9.642918,rabica
8744,rabica_8744,-75.718103,4.364038,rabica
8745,rabica_8745,-43.03138,-22.955727,rabica
8754,rabica_8754,-159.560434,21.898877,rabica
8755,rabica_8755,-84.090725,9.928069,rabica
8756,rabica_8756,-71.14326,18.02057,rabica
8757,rabica_8757,-76.532112,3.895453,rabica
8758,rabica_8758,-86.990326,14.002788,rabica
8759,rabica_8759,-155.966095,19.649667,rabica
8762,rabica_8762,-76.603055,3.320142,rabica
8764,rabica_8764,-82.960671,8.810542,rabica
8765,rabica_8765,-84.334778,10.092236,rabica
8766,rabica_8766,-71.145492,18.01964,rabica
8778,rabica_8778,-97.013403,18.925414,rabica
8779,rabica_8779,-155.944703,19.701695,rabica
8780,rabica_8780,-84.820187,10.309882,rabica
8781,rabica_8781,-67.453327,-16.470043,rabica
8782,rabica_8782,-66.165322,-17.413977,rabica
8783,rabica_8783,-82.400876,8.763629,rabica
8784,rabica_8784,-82.484482,8.81348,rabica
8785,rabica_8785,-66.894966,18.220805,rabica
8786,rabica_8786,167.925003,-29.048541,rabica
8794,boiviniana (Baill.) Drake_8794,49.353747,-12.336711,boiviniana
8797,canephora Pierre ex A.Froehner_8797,25.313666,0.294583,canephora
8799,liberica Bull. ex Hiern_8799,,,liberica
8800,liberica Bull. ex Hiern_8800,,,liberica
8801,canephora Pierre ex A.Froehner_8801,25.314805,0.295611,canephora
8833,canephora Pierre ex A.Froehner_8833,25.0,-6.0,canephora
8834,brevipes Hiern_8834,25.345583,0.207305,brevipes
8835,canephora Pierre ex A.Froehner_8835,25.270916,0.331749,canephora
8836,liberica Bull. ex Hiern_8836,,,liberica
8837,canephora Pierre ex A.Froehner_8837,25.295138,0.300333,canephora
