env_77_veg_16,clim_60_pet5_may,env_79_forcov,clim_34_prec10_oct,clim_39_isotherm,clim_69_cwd_annual,env_76_soi_9,env_76_soi_10,clim_40_temp_season,env_78_wat_3,clim_70_ndm_per_year,env_73_asp,env_77_veg_14,env_76_soi_11,env_71_alt,caffeine_percent
0.9998140110103573,93.64532039490796,-2.3644575761636055,157.70267491436073,58.95610759604067,14.359385531779749,0.021591480085091413,1.0283161096066313,2232.0103303084206,0.00489523549380276,1.016693757232649,128.8025415683717,0.014508798807790588,-0.011414973152037022,19.318448527736177,0.02744267827040876
0.004495400955927511,97.37816255832989,72.42629769655078,98.10363524273298,64.88185832201592,36.273667444753926,0.03205207977648944,0.007650719301336414,1832.7513357164432,0.029640020538953777,4.243762381197507,341.94595603087294,0.9900807537288968,-0.010699359703481475,266.17999704714737,0.029679193190696646
1.0226011132405264,92.94142499689599,0.6305856790223705,160.4961552509914,59.11907789373842,8.346130477306428,0.026039933598654703,0.9918799630408817,2253.763293791562,-0.00035988935737615087,1.2175006682181162,125.70560556999153,0.01980819710887916,0.04171845162599497,53.198026706447095,0.018583206774612667
0.989744388260691,76.96114076529878,-1.6005184957796204,172.91057886632112,59.84507082921425,24.743641481215768,0.027467695257300376,0.00026131452504509276,2474.0237878769794,1.0348945953532929,1.1130966601767114,10.795787317099322,-0.020216657177616903,1.0240972184162398,47.869040211642215,0.04531739779902318
-0.011318893203783173,90.63604820182782,-1.4831051944320286,135.30427127766282,59.637238987379305,14.816677092857056,0.0040863734499273436,0.9775110272686178,2173.5460419176443,0.00044472079595340243,1.0974899899257204,218.90136592359508,-0.019298640031768927,0.02649519058049934,20.339148847700187,0.040819231985462015
0.9915209414406786,76.16051480368007,0.7898251949493026,173.47522525562053,60.13217166389004,31.604596834202006,-0.016247005230444853,-0.025050649026712172,2496.5145986949524,0.9901800369933118,0.954278957622286,18.34168205938575,0.02369799307101805,1.0237056640359032,63.15818279120146,0.02696925118569369
0.9786861418225142,90.1925844881065,0.40836499541626115,146.8568168378127,61.9058329321341,-2.508888616037517,0.01145408539286651,0.009730282333559003,2236.648406823984,0.007992624596383969,1.226009850730103,200.81172855047274,0.03438959512282204,1.0305542422772123,75.61735415579672,0.030103228591292334
-0.024945849384323922,76.98228945316873,102.15244843062263,112.5960395213811,63.75653361830579,-7.497455133139983,1.0020572896723194,-0.009321935740519087,2252.8003520561597,0.017871206104655174,1.1106025345083692,184.93103929793324,0.9896828766284105,0.004266350532682856,595.1785838408352,0.029758642714758376
-0.025721874228305075,96.65482337906525,71.01079270621575,99.01790544056401,64.81427746272308,29.721305312926617,0.00823848407856338,-0.0033055749611402637,1835.2380260763093,-0.020310512709709436,3.843314103706051,352.7741245587464,0.9818672229268577,0.010402129686829256,282.10987194903447,0.019923948351244412
0.029352064637840562,97.72588308187271,86.73142686533824,95.63039591746852,65.94916016336136,52.090539973365395,-0.020781145764409984,0.030206784890997523,1835.0434339798878,-0.010123212843966297,4.096412947418435,-3.8059247832683933,1.0208365347299226,0.01397025784175101,263.7981890377466,0.025439981596104458
0.9902869562192415,91.03885330141233,0.6551972435144342,160.97130540658955,58.88013869892503,-3.3463120600565808,-0.022761239804998536,1.0017252271073902,2250.7409540643785,0.016702346562050767,1.0825291778166561,138.1089550374936,0.013707101186700217,0.016069645145978126,31.029329221293867,0.03289297347428656
0.9801845461640106,91.39633076108949,26.273200214631856,145.03424425954412,62.11739828440043,-6.0813804203516675,-0.011697869481275238,-0.01681658743275185,2129.0512923188644,0.009214572064891251,1.1953872889614288,352.8675416540411,0.0017295280826815098,0.013727567244806898,13.860551633900926,0.022983276205920087
0.005953894600175969,85.39382011879165,26.073161025057686,152.77549081079908,57.010579590400866,-15.91148641139558,-0.010181220679823345,0.00732109658312784,2480.8576688203693,0.027222313009419342,0.04429578536454406,22.214974150241773,1.0182939974455252,0.031039952576762543,25.01025160636545,0.0314350717015453
0.020166743864835877,100.23437899803244,-2.0507755773981606,80.20969971704794,65.20881832065939,686.5207162176903,-0.0043409699766848945,-0.012686874795907275,1845.5901535400974,0.03943930684724123,7.877448134842712,227.00211599785965,-0.012551490411647567,-0.004985453492002256,121.00411704515587,0.03326920871300914
1.0491866020160667,77.14866106373346,1.3860531933246563,172.7922838502039,59.725623247680495,37.67033522693371,-0.03978686245251092,-0.006792408299555333,2508.733668290365,1.0034558073678042,0.9499403442016864,15.110311950138037,0.005851598044253549,1.0181148606190422,55.676442141598244,0.027949127704823128
